"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"45","CA3726411948120010820","CA3726411948120010820","200101307",1,4152.208024575,1680.34569251527,2001,1629.2044,4025.851746,"w"
"46","CA3766311948220010710","CA3766311948220010710","200101196",1,9157.65375899238,3705.98581679782,2001,1907.8841,4714.4842815,"w"
"47","CA3777211886020010702","CA3777211886020010702","NA",0,2584.09918410638,1045.75202093585,2001,NA,NA,"w"
"48","CA3777412023620010818","CA3777412023620010818","200101163",1,9787.52816348088,3960.88796431636,2001,4758.9918,11759.724837,"w"
"49","CA3791711895020010812","CA3791711895020010812","200101131",1,5554.35153856943,2247.77531070495,2001,364.4273,900.5194695,"w"
"50","CA3818712077320010713","CA3818712077320010713","NA",0,1074.56291685043,434.861923578858,2001,NA,NA,"w"
"51","CA3819512030720010905","CA3819512030720010905","200101075",1,14724.4747371002,5958.80735083563,2001,5766.5261,14249.3963115,"w"
"52","CA3821812062320010818","CA3821812062320010818","200101074",1,5262.94886702501,2129.84836171322,2001,2122.2531,5244.2016165,"w"
"53","CA3826112094020010613","CA3826112094020010613","200101067",1,2291.36687357736,927.286983985344,2001,128.6214,317.830401,"w"
"54","CA3905812092020010827","CA3905812092020010827","200100989",1,3061.73938650812,1239.04692618329,2001,1071.845,2648.586675,"w"
"55","CA3909912049020010825","CA3909912049020010825","200100979",1,16831.6430858402,6811.55153832659,2001,6645.439,16421.237385,"w"
"56","CA3930112062620010812","CA3930112062620010812","200100952",1,2382.42019631413,964.13510376749,2001,1093.2819,2701.5584085,"w"
"57","CA3939912270520010808","CA3939912270520010808","200100936",1,25247.0633712864,10217.1649237018,2001,8639.0707,21347.6086005,"w"
"58","CA3970212148820010906","CA3970212148820010906","200100902",1,8439.2139097324,3415.24236201659,2001,3279.8457,8104.6752255,"w"
"59","CA3975112148120011024","CA3975112148120011024","200100893 200100902",2,1652.39415526188,668.702864764559,2001,600.2332,1483.208538,"w"
"60","CA4018312060620010726","CA4018312060620010726","NA",0,45.9877939141279,18.6106743579626,2001,NA,NA,"w"
"61","CA4018312060620010726","CA4018312060620010726_2983","NA",0,18.2088723311482,7.36889866936207,2001,NA,NA,"w"
"62","CA4018312060620010726","CA4018312060620010726_2984","200100847",1,3598.26975344043,1456.17393081371,2001,1522.0199,3760.9930785,"w"
"63","CA4039512072520010527","CA4039512072520010527","200100831",1,4614.14388810692,1867.28525187986,2001,1800.6996,4449.625614,"w"
"64","CA4042012031420010808","CA4042012031420010808","NA",0,1214.39765273577,491.451259835196,2001,NA,NA,"w"
"65","CA4057812322220010831","CA4057812322220010831","200100802",1,1186.06829938697,479.986731422925,2001,300.1166,741.604269,"w"
"66","CA4073412017820010809","CA4073412017820010809","200100770",1,67349.1150887149,27255.3289151789,2001,23194.7258,57315.415647,"w"
"67","CA4074312296820010828","CA4074312296820010828","200100782",1,1758.07110755606,711.468981137991,2001,685.9808,1695.095472,"w"
"68","CA4081012072720010726","CA4081012072720010726","200100769",1,1099.60143192094,444.994691661936,2001,364.4273,900.5194695,"w"
"69","CA4118212024620010809","CA4118212024620010809","200100727 200100734",2,30761.7339970833,12448.8818745034,2001,11790.295,29134.453425,"w"
"70","CA4162512353920010915","CA4162512353920010915","200100696 200100699",2,8710.3619785893,3524.97253132431,2001,964.6605,2383.7280075,"w"
"71","CA4172312096320010810","CA4172312096320010810","200100688",1,3151.24950086961,1275.27052919491,2001,1028.9712,2542.643208,"w"
"72","CA4184912111220010703","CA4184912111220010703","200100681",1,4858.96759327764,1966.36228655019,2001,1007.5343,2489.6714745,"w"
"73","CA4186812276120010509","CA4186812276120010509","NA",0,1254.92165180044,507.850806020933,2001,NA,NA,"w"
"74","CA4190312084820010809","CA4190312084820010809","200100680",1,1731.94231868334,700.894993136171,2001,85.7476,211.886934,"w"
"75","CO3707910730420010503","CO3707910730420010503","NA",0,6770.64285627982,2739.99291263196,2001,NA,NA,"w"
"76","CO3725510752320010518","CO3725510752320010518","NA",0,1085.55371336969,439.309758918309,2001,NA,NA,"w"
"77","CO3725510752320010518","CO3725510752320010518_3371","NA",0,84.4820760357563,34.1888199534416,2001,NA,NA,"w"
"78","CO3753810397920010708","CO3753810397920010708","NA",0,2045.70497088315,827.870741455063,2001,NA,NA,"w"
"79","CO3867710886220010710","CO3867710886220010710","NA",0,2056.34426845357,832.176329647668,2001,NA,NA,"w"
"80","CO3955610698620010418","CO3955610698620010418","NA",0,67.0913933193404,27.1510321982339,2001,NA,NA,"w"
"81","CO3955610698620010418","CO3955610698620010418_3528","NA",0,240.835539536653,97.4630748435169,2001,NA,NA,"w"
"82","CO3955610698620010418","CO3955610698620010418_3529","NA",0,860.285760556641,348.146688106151,2001,NA,NA,"w"
"83","CO4006010845520010812","CO4006010845520010812","200100858",1,2043.34991533641,826.91768047638,2001,707.4177,1748.0672055,"w"
"84","CO4009010845220010704","CO4009010845220010704","200100856 200100858",2,1349.48799454746,546.120600248824,2001,321.5535,794.5760025,"w"
"85","CO4066110894720010717","CO4066110894720010717","200100791",1,2238.27372118817,905.800861567772,2001,986.0974,2436.699741,"w"
"86","CO4066510677520010708","CO4066510677520010708","NA",0,1433.3467107526,580.057154419807,2001,NA,NA,"w"
"87","CO4078310895020010717","CO4078310895020010717","200100777",1,1416.1185880737,573.085152640927,2001,364.4273,900.5194695,"w"
"88","CO4083210437120011107","CO4083210437120011107","NA",0,1377.81382313639,557.583702235678,2001,NA,NA,"w"
"89","FL2540008106020010828","FL2540008106020010828","NA",0,835.850958060943,338.258234811398,2001,NA,NA,"e"
"90","FL2541408091220010602","FL2541408091220010602","NA",0,4711.47860873025,1906.67537336789,2001,NA,NA,"e"
"91","FL2550508064320010508","FL2550508064320010508","200103210",1,8794.90071251596,3559.18428000444,2001,214.369,529.717335,"e"
"92","FL2557708059320010402","FL2557708059320010402","200103209",1,684.557808695804,277.031824588659,2001,21.4369,52.9717335,"e"
"93","FL2559508116020010625","FL2559508116020010625","NA",0,2914.57224538954,1179.49025893666,2001,NA,NA,"e"
"94","FL2570808054220010607","FL2570808054220010607","NA",0,2256.2686893919,913.083195961696,2001,NA,NA,"e"
