id,latitude,longitude,ignition_date,ignition_state
1,26.693749324969716,-80.60081785737812,2000-11-01,Florida
2,36.40375018208255,-83.22462262553853,2000-11-01,Tennessee
3,38.60625031417556,-78.32905470997441,2000-11-01,Virginia
4,26.63541714305427,-80.53165639595665,2000-11-01,Florida
5,37.09166703305952,-83.78421492890713,2000-11-01,Kentucky
6,36.28958323153635,-84.32988550418209,2000-11-01,Tennessee
7,34.1381947862103,-90.63668198072739,2000-11-01,Mississippi
8,26.843749254854206,-80.54388721539786,2000-11-01,Florida
9,26.529583297115952,-80.48799475878174,2000-11-01,Florida
10,36.16041606317157,-84.24234366464172,2000-11-01,Tennessee
11,26.389583362557094,-80.62924977869773,2000-11-01,Florida
12,37.910417493458745,-82.31963115117969,2000-11-01,West Virginia
13,34.31874913321681,-90.856429553109,2000-11-01,Arkansas
15,37.93958246026573,-82.43681896354983,2000-11-01,West Virginia
16,26.43958333918526,-80.64559174598203,2000-11-01,Florida
17,37.695833979391864,-100.69412902307579,2000-11-01,Kansas
18,36.28416684843932,-89.0138435222504,2000-11-01,Tennessee
19,26.73125099366695,-81.14521675132444,2000-11-02,Florida
20,26.61041678002327,-80.75638238828176,2000-11-02,Florida
21,37.547917100829196,-81.60233294866632,2000-11-02,West Virginia
22,35.82859824084843,-84.74739804837222,2000-11-02,Tennessee
23,37.41041772717712,-81.76181614030192,2000-11-02,West Virginia
24,26.68541711968243,-81.29288086334675,2000-11-02,Florida
25,36.76875023629829,-84.57825207134175,2000-11-02,Kentucky
26,37.8062491892573,-81.67601376096489,2000-11-02,West Virginia
27,36.903868979868285,-83.26695321757956,2000-11-02,Kentucky
28,26.46875055429372,-80.86616903781172,2000-11-02,Florida
29,26.485417213169775,-80.68702449011705,2000-11-02,Florida
30,26.40625002143315,-80.91536348053683,2000-11-02,Florida
31,26.527082736209174,-80.66972098847258,2000-11-02,Florida
32,37.20104127933942,-83.42158904984493,2000-11-03,Kentucky
33,36.83375043074505,-83.89105054327878,2000-11-03,Kentucky
34,26.881250923551438,-80.55424718753167,2000-11-03,Florida
35,36.084722497222536,-84.35450132120015,2000-11-03,Tennessee
36,36.70763885397922,-83.45970119202539,2000-11-03,Kentucky
37,36.347917661753286,-83.53944466215665,2000-11-03,Tennessee
38,26.747917652543006,-81.04045927573762,2000-11-03,Florida
39,26.314582273464108,-81.32072084038984,2000-11-03,Florida
40,35.81666650489062,-83.16699253219457,2000-11-03,Tennessee
41,37.01755948321213,-83.37236598024805,2000-11-03,Kentucky
42,35.86458230604623,-81.90359853052944,2000-11-03,North Carolina
43,35.7020840682308,-85.42294190370981,2000-11-04,Tennessee
44,37.84999888776925,-100.0375869118794,2000-11-05,Kansas
45,36.279166850776505,-89.59409339655824,2000-11-06,Missouri
46,35.00272446957344,-88.86576340385545,2000-11-06,Tennessee
